Gene	miRNA
CLCN5	hsa-miR-500a-3p
CLCN5	hsa-miR-500a-5p
CLCN5	hsa-miR-500b-3p
CLCN5	hsa-miR-500b-5p
CLCN5	hsa-miR-501-3p
CLCN5	hsa-miR-501-5p
CLCN5	hsa-miR-502-3p
CLCN5	hsa-miR-502-5p
CLCN5	hsa-miR-532-3p
CLCN5	hsa-miR-532-5p
CLCN5	hsa-miR-660-3p
CLCN5	hsa-miR-660-5p
CLDN11	hsa-miR-6828-3p
CLDN11	hsa-miR-6828-5p
CLUH	hsa-miR-6776-3p
CLUH	hsa-miR-6776-5p
CLYBL	hsa-miR-4306
CMIP	hsa-miR-6504-3p
CMIP	hsa-miR-6504-5p
CMIP	hsa-miR-7854-3p
CNNM4	hsa-miR-3127-3p
CNNM4	hsa-miR-3127-5p
COL17A1	hsa-miR-936
COL18A1	hsa-miR-6815-3p
COL18A1	hsa-miR-6815-5p
COL27A1	hsa-miR-455-3p
COL27A1	hsa-miR-455-5p
COL3A1	hsa-miR-1245a
COL3A1	hsa-miR-3606-3p
COL3A1	hsa-miR-3606-5p
COL4A2	hsa-miR-8073
COL5A2	hsa-miR-3129-3p
COL5A2	hsa-miR-3129-5p
COL7A1	hsa-miR-711
COLQ	hsa-miR-4270
COMMD10	hsa-miR-12130
COMT	hsa-miR-4761-3p
COMT	hsa-miR-4761-5p
COP1	hsa-miR-1843
COPG1	hsa-miR-6826-3p
COPG1	hsa-miR-6826-5p
COPZ1	hsa-miR-148b-3p
COPZ1	hsa-miR-148b-5p
COPZ2	hsa-miR-152-3p
COPZ2	hsa-miR-152-5p
CPE	hsa-miR-578
CPNE4	hsa-miR-5704
CREB3	hsa-miR-6853-3p
CREB3	hsa-miR-6853-5p
CRTAC1	hsa-miR-3085-3p
CRTAC1	hsa-miR-3085-5p
CRYGN	hsa-miR-3907
CRYL1	hsa-miR-4499
CSF2RA	hsa-miR-3690
CTBP2	hsa-miR-4296
CTDSP1	hsa-miR-26b-3p
