TF	miRNA
KMT2A	hsa-miR-27a-3p
KMT2A	hsa-miR-27a-5p
KMT2A	hsa-miR-27b-3p
KMT2A	hsa-miR-27b-5p
LAMTOR5	hsa-miR-503-3p
LAMTOR5	hsa-miR-503-5p
LEF1	hsa-miR-124-3p
LEF1	hsa-miR-124-5p
LEF1	hsa-miR-150-3p
LEF1	hsa-miR-150-5p
LEF1	hsa-miR-181a-2-3p
LEF1	hsa-miR-181a-5p
LEF1	hsa-miR-182-3p
LEF1	hsa-miR-182-5p
LEF1	hsa-miR-183-3p
LEF1	hsa-miR-183-5p
LEF1	hsa-miR-30e-3p
LEF1	hsa-miR-30e-5p
LEF1	hsa-miR-372-3p
LEF1	hsa-miR-372-5p
LEF1	hsa-miR-373-3p
LEF1	hsa-miR-373-5p
LEF1	hsa-miR-96-3p
LEF1	hsa-miR-96-5p
LIN28A	hsa-miR-107
LIN28A	hsa-miR-143-3p
LIN28A	hsa-miR-143-5p
LIN28A	hsa-miR-150-3p
LIN28A	hsa-miR-150-5p
LIN28A	hsa-miR-200c-3p
LIN28A	hsa-miR-200c-5p
LIN28A	hsa-miR-370-3p
LIN28A	hsa-miR-370-5p
LIN28B	hsa-let-7b-3p
LIN28B	hsa-let-7b-5p
LIN28B	hsa-let-7c-3p
LIN28B	hsa-let-7c-5p
LIN28B	hsa-let-7d-3p
LIN28B	hsa-let-7d-5p
LIN28B	hsa-let-7e-3p
LIN28B	hsa-let-7e-5p
LIN28B	hsa-let-7g-3p
LIN28B	hsa-let-7g-5p
LIN28B	hsa-let-7i-3p
LIN28B	hsa-let-7i-5p
LIN28	hsa-let-7b-3p
LIN28	hsa-let-7b-5p
LIN28	hsa-let-7c-3p
LIN28	hsa-let-7c-5p
LIN28	hsa-let-7d-3p
LIN28	hsa-let-7d-5p
LIN28	hsa-let-7e-3p
LIN28	hsa-let-7e-5p
LIN28	hsa-let-7g-3p
LIN28	hsa-let-7g-5p
LIN28	hsa-let-7i-3p
LIN28	hsa-let-7i-5p
LMO2	hsa-miR-142-3p
LMO2	hsa-miR-142-5p
LMX1A	hsa-miR-135a-2-3p
LMX1A	hsa-miR-135a-5p
LPS	hsa-miR-9-3p
LPS	hsa-miR-9-5p
MAFB	hsa-miR-506-3p
MAFB	hsa-miR-506-5p
MAPK14	hsa-miR-17-3p
MAPK14	hsa-miR-17-5p
MAPK14	hsa-miR-18a-3p
MAPK14	hsa-miR-18a-5p
MAPK14	hsa-miR-19a-3p
MAPK14	hsa-miR-19a-5p
MAPK14	hsa-miR-20a-3p
MAPK14	hsa-miR-20a-5p
MAPK/MK2	hsa-miR-34c-3p
MAPK/MK2	hsa-miR-34c-5p
MAX	hsa-miR-106a-3p
MAX	hsa-miR-106a-5p
MAX	hsa-miR-106b-3p
MAX	hsa-miR-106b-5p
MAX	hsa-miR-17-3p
MAX	hsa-miR-17-5p
MAX	hsa-miR-18a-3p
MAX	hsa-miR-18a-5p
MAX	hsa-miR-18b-3p
MAX	hsa-miR-18b-5p
MAX	hsa-miR-193a-3p
MAX	hsa-miR-193a-5p
MAX	hsa-miR-19a-3p
MAX	hsa-miR-19a-5p
MAX	hsa-miR-19b-1-5p
MAX	hsa-miR-19b-2-5p
MAX	hsa-miR-19b-3p
MAX	hsa-miR-20a-3p
MAX	hsa-miR-20a-5p
MAX	hsa-miR-20b-3p
MAX	hsa-miR-20b-5p
MAX	hsa-miR-25-3p
MAX	hsa-miR-25-5p
MAX	hsa-miR-363-3p
MAX	hsa-miR-363-5p
MAX	hsa-miR-92a-1-5p
MAX	hsa-miR-92a-2-5p
MAX	hsa-miR-92a-3p
MAX	hsa-miR-93-3p
MAX	hsa-miR-93-5p
MBD2	hsa-miR-373-3p
MBD2	hsa-miR-373-5p
MECOM	hsa-miR-1-3p
MECP2	hsa-miR-137-3p
MECP2	hsa-miR-137-5p
MECP2	hsa-miR-184
MEF2A	hsa-miR-1-3p
MEF2A	hsa-miR-1-5p
MEF2A	hsa-miR-23a-3p
MEF2A	hsa-miR-23a-5p
MEF2A	hsa-miR-24-2-5p
MEF2A	hsa-miR-24-3p
MEF2A	hsa-miR-27a-3p
MEF2A	hsa-miR-27a-5p
MEF2A	hsa-miR-410-3p
MEF2A	hsa-miR-410-5p
MEF2A	hsa-miR-424-3p
MEF2A	hsa-miR-424-5p
MEF2A	hsa-miR-433-3p
MEF2A	hsa-miR-433-5p
MEF2A	hsa-miR-503-3p
MEF2A	hsa-miR-503-5p
MEF2A	hsa-miR-92b-3p
MEF2A	hsa-miR-92b-5p
MEF2C	hsa-miR-424-3p
MEF2C	hsa-miR-424-5p
MEF2C	hsa-miR-503-3p
MEF2C	hsa-miR-503-5p
MEIS1	hsa-miR-196b-3p
MEIS1	hsa-miR-196b-5p
MEIS1	hsa-miR-21-3p
MEIS1	hsa-miR-21-5p
MEN1	hsa-miR-23a-3p
MEN1	hsa-miR-23a-5p
MEN1	hsa-miR-23b-3p
MEN1	hsa-miR-23b-5p
MEN1	hsa-miR-24-1-5p
MEN1	hsa-miR-24-2-5p
MEN1	hsa-miR-24-3p
MEN1	hsa-miR-27a-3p
MEN1	hsa-miR-27a-5p
MEN1	hsa-miR-27b-3p
MEN1	hsa-miR-27b-5p
MITF	hsa-let-7a-3p
MITF	hsa-let-7a-5p
MITF	hsa-let-7d-3p
MITF	hsa-let-7d-5p
MITF	hsa-let-7f-1-3p
MITF	hsa-let-7f-5p
MITF	hsa-let-7i-3p
MITF	hsa-let-7i-5p
MITF	hsa-miR-106a-3p
MITF	hsa-miR-106a-5p
MITF	hsa-miR-125b-2-3p
MITF	hsa-miR-125b-5p
MITF	hsa-miR-146a-3p
MITF	hsa-miR-146a-5p
MITF	hsa-miR-148b-3p
MITF	hsa-miR-148b-5p
MITF	hsa-miR-18b-3p
MITF	hsa-miR-18b-5p
MITF	hsa-miR-19b-2-5p
MITF	hsa-miR-19b-3p
MITF	hsa-miR-204-3p
MITF	hsa-miR-204-5p
MITF	hsa-miR-20b-3p
MITF	hsa-miR-20b-5p
MITF	hsa-miR-211-3p
MITF	hsa-miR-211-5p
MITF	hsa-miR-221-3p
MITF	hsa-miR-221-5p
MITF	hsa-miR-222-3p
MITF	hsa-miR-222-5p
MITF	hsa-miR-29a-3p
MITF	hsa-miR-29a-5p
MITF	hsa-miR-29b-1-5p
MITF	hsa-miR-29b-3p
MITF	hsa-miR-363-3p
MITF	hsa-miR-363-5p
MITF	hsa-miR-92a-2-5p
MITF	hsa-miR-92a-3p
MITF	hsa-miR-92b-3p
MITF	hsa-miR-92b-5p
MKL1	hsa-miR-143-3p
MKL1	hsa-miR-143-5p
MKL1	hsa-miR-145-3p
MKL1	hsa-miR-145-5p
MKL1	hsa-miR-199a-3p
MKL1	hsa-miR-199a-5p
MKL1	hsa-miR-214-3p
MKL1	hsa-miR-214-5p
MKL1	hsa-miR-3120-3p
MKL1	hsa-miR-3120-5p
MMP9	hsa-miR-211-3p
MMP9	hsa-miR-211-5p
MNT	hsa-miR-17-3p
MNT	hsa-miR-17-5p
MNT	hsa-miR-18a-3p
MNT	hsa-miR-18a-5p
MNT	hsa-miR-19a-3p
MNT	hsa-miR-19a-5p
MNT	hsa-miR-19b-1-5p
MNT	hsa-miR-19b-3p
MNT	hsa-miR-20a-3p
MNT	hsa-miR-20a-5p
MNT	hsa-miR-92a-1-5p
MNT	hsa-miR-92a-3p
MRF4	hsa-miR-206
MTA1	hsa-miR-22-3p
MTA1	hsa-miR-22-5p
MUC1	hsa-miR-141-3p
MUC1	hsa-miR-141-5p
MUC1	hsa-miR-200c-3p
MUC1	hsa-miR-200c-5p
MXI1	hsa-miR-17-3p
MXI1	hsa-miR-17-5p
MXI1	hsa-miR-18a-3p
MXI1	hsa-miR-18a-5p
MXI1	hsa-miR-19a-3p
MXI1	hsa-miR-19a-5p
MXI1	hsa-miR-19b-1-5p
MXI1	hsa-miR-19b-3p
MXI1	hsa-miR-20a-3p
MXI1	hsa-miR-20a-5p
MXI1	hsa-miR-92a-1-5p
MXI1	hsa-miR-92a-3p
MYB	hsa-miR-141-3p
MYB	hsa-miR-141-5p
MYB	hsa-miR-143-3p
MYB	hsa-miR-143-5p
MYB	hsa-miR-148a-3p
MYB	hsa-miR-148a-5p
MYB	hsa-miR-155-3p
MYB	hsa-miR-155-5p
MYB	hsa-miR-15a-3p
MYB	hsa-miR-15a-5p
MYB	hsa-miR-200a-3p
MYB	hsa-miR-200a-5p
MYB	hsa-miR-200b-3p
MYB	hsa-miR-200b-5p
MYB	hsa-miR-200c-3p
MYB	hsa-miR-200c-5p
MYB	hsa-miR-429
MYC	hsa-let-7a-2-3p
MYC	hsa-let-7a-3p
MYC	hsa-let-7a-5p
MYC	hsa-let-7b-3p
MYC	hsa-let-7b-5p
MYC	hsa-let-7c-3p
MYC	hsa-let-7c-5p
MYC	hsa-let-7d-3p
MYC	hsa-let-7d-5p
MYC	hsa-let-7e-3p
MYC	hsa-let-7e-5p
MYC	hsa-let-7f-1-3p
MYC	hsa-let-7f-5p
MYC	hsa-let-7g-3p
MYC	hsa-let-7g-5p
MYC	hsa-let-7i-3p
MYC	hsa-let-7i-5p
MYC	hsa-miR-100-3p
MYC	hsa-miR-100-5p
MYC	hsa-miR-101-2-5p
MYC	hsa-miR-101-3p
MYC	hsa-miR-106a-3p
MYC	hsa-miR-106a-5p
MYC	hsa-miR-106b-3p
MYC	hsa-miR-106b-5p
MYC	hsa-miR-122-3p
MYC	hsa-miR-122-5p
MYC	hsa-miR-125b-1-3p
MYC	hsa-miR-125b-5p
MYC	hsa-miR-130a-3p
MYC	hsa-miR-130a-5p
MYC	hsa-miR-141-3p
MYC	hsa-miR-141-5p
MYC	hsa-miR-146a-3p
MYC	hsa-miR-146a-5p
MYC	hsa-miR-148a-3p
MYC	hsa-miR-148a-5p
MYC	hsa-miR-150-3p
MYC	hsa-miR-150-5p
MYC	hsa-miR-15a-3p
MYC	hsa-miR-15a-5p
MYC	hsa-miR-16-1-3p
MYC	hsa-miR-16-5p
MYC	hsa-miR-17-3p
MYC	hsa-miR-17-5p
MYC	hsa-miR-184
MYC	hsa-miR-18a-3p
MYC	hsa-miR-18a-5p
MYC	hsa-miR-18b-3p
MYC	hsa-miR-18b-5p
MYC	hsa-miR-195-3p
MYC	hsa-miR-195-5p
MYC	hsa-miR-196a-1-3p
MYC	hsa-miR-196a-5p
MYC	hsa-miR-19a-3p
MYC	hsa-miR-19a-5p
MYC	hsa-miR-200c-3p
MYC	hsa-miR-200c-5p
MYC	hsa-miR-20a-3p
MYC	hsa-miR-20a-5p
MYC	hsa-miR-20b-3p
MYC	hsa-miR-20b-5p
MYC	hsa-miR-221-3p
MYC	hsa-miR-221-5p
MYC	hsa-miR-222-3p
MYC	hsa-miR-222-5p
MYC	hsa-miR-22-3p
MYC	hsa-miR-22-5p
MYC	hsa-miR-23a-3p
MYC	hsa-miR-23a-5p
MYC	hsa-miR-23b-3p
MYC	hsa-miR-23b-5p
MYC	hsa-miR-24-2-5p
MYC	hsa-miR-24-3p
MYC	hsa-miR-25-3p
MYC	hsa-miR-25-5p
MYC	hsa-miR-26a-1-3p
MYC	hsa-miR-26a-2-3p
MYC	hsa-miR-26a-5p
MYC	hsa-miR-26b-3p
MYC	hsa-miR-26b-5p
MYC	hsa-miR-27a-3p
MYC	hsa-miR-27a-5p
MYC	hsa-miR-28-3p
MYC	hsa-miR-28-5p
MYC	hsa-miR-29a-3p
MYC	hsa-miR-29a-5p
MYC	hsa-miR-29b-1-5p
MYC	hsa-miR-29b-2-5p
MYC	hsa-miR-29b-3p
MYC	hsa-miR-29c-3p
MYC	hsa-miR-29c-5p
MYC	hsa-miR-30a-3p
MYC	hsa-miR-30a-5p
MYC	hsa-miR-30b-3p
MYC	hsa-miR-30b-5p
MYC	hsa-miR-30d-3p
MYC	hsa-miR-30d-5p
MYC	hsa-miR-32-3p
MYC	hsa-miR-32-5p
MYC	hsa-miR-34a-3p
MYC	hsa-miR-34a-5p
MYC	hsa-miR-371a-3p
MYC	hsa-miR-371a-5p
MYC	hsa-miR-371b-3p
MYC	hsa-miR-371b-5p
MYC	hsa-miR-372-3p
MYC	hsa-miR-372-5p
MYC	hsa-miR-373-3p
MYC	hsa-miR-373-5p
MYC	hsa-miR-497-3p
MYC	hsa-miR-497-5p
MYC	hsa-miR-548m
MYC	hsa-miR-7-1-3p
MYC	hsa-miR-7-5p
MYC	hsa-miR-93-3p
MYC	hsa-miR-93-5p
MYC	hsa-miR-9-3p
MYC	hsa-miR-9-5p
MYCN	hsa-miR-106a-3p
MYCN	hsa-miR-106a-5p
MYCN	hsa-miR-106b-3p
MYCN	hsa-miR-106b-5p
MYCN	hsa-miR-124-3p
MYCN	hsa-miR-124-5p
MYCN	hsa-miR-1268a
MYCN	hsa-miR-1268b
MYCN	hsa-miR-1307-3p
MYCN	hsa-miR-1307-5p
MYCN	hsa-miR-17-3p
MYCN	hsa-miR-17-5p
MYCN	hsa-miR-181a-2-3p
MYCN	hsa-miR-181a-3p
MYCN	hsa-miR-181a-5p
MYCN	hsa-miR-181b-2-3p
MYCN	hsa-miR-181b-3p
MYCN	hsa-miR-181b-5p
MYCN	hsa-miR-181d-3p
MYCN	hsa-miR-181d-5p
MYCN	hsa-miR-182-3p
MYCN	hsa-miR-182-5p
MYCN	hsa-miR-183-3p
MYCN	hsa-miR-183-5p
MYCN	hsa-miR-18a-3p
MYCN	hsa-miR-18a-5p
MYCN	hsa-miR-18b-3p
MYCN	hsa-miR-18b-5p
MYCN	hsa-miR-19a-3p
MYCN	hsa-miR-19a-5p
MYCN	hsa-miR-19b-2-5p
MYCN	hsa-miR-19b-3p
MYCN	hsa-miR-20a-3p
MYCN	hsa-miR-20a-5p
MYCN	hsa-miR-20b-3p
MYCN	hsa-miR-20b-5p
MYCN	hsa-miR-2110
MYCN	hsa-miR-221-3p
MYCN	hsa-miR-221-5p
MYCN	hsa-miR-24-1-5p
MYCN	hsa-miR-24-2-5p
MYCN	hsa-miR-24-3p
MYCN	hsa-miR-25-3p
MYCN	hsa-miR-25-5p
MYCN	hsa-miR-27a-3p
MYCN	hsa-miR-27a-5p
MYCN	hsa-miR-27b-3p
MYCN	hsa-miR-27b-5p
MYCN	hsa-miR-296-3p
MYCN	hsa-miR-296-5p
MYCN	hsa-miR-320a-3p
MYCN	hsa-miR-320a-5p
MYCN	hsa-miR-330-3p
MYCN	hsa-miR-330-5p
MYCN	hsa-miR-335-3p
MYCN	hsa-miR-335-5p
MYCN	hsa-miR-33a-3p
MYCN	hsa-miR-33a-5p
MYCN	hsa-miR-345-3p
MYCN	hsa-miR-345-5p
MYCN	hsa-miR-363-3p
MYCN	hsa-miR-363-5p
MYCN	hsa-miR-421
MYCN	hsa-miR-4295
MYCN	hsa-miR-7-1-3p
MYCN	hsa-miR-7-2-3p
MYCN	hsa-miR-7-5p
MYCN	hsa-miR-760
MYCN	hsa-miR-887-3p
MYCN	hsa-miR-887-5p
MYCN	hsa-miR-92a-1-5p
MYCN	hsa-miR-92a-2-5p
MYCN	hsa-miR-92a-3p
MYCN	hsa-miR-92b-3p
MYCN	hsa-miR-92b-5p
MYCN	hsa-miR-93-3p
MYCN	hsa-miR-93-5p
MYCN	hsa-miR-9-3p
MYCN	hsa-miR-9-5p
MYCN	hsa-miR-96-3p
MYCN	hsa-miR-96-5p
MYF5	hsa-miR-206
MYOCD	hsa-miR-1-3p
MYOCD	hsa-miR-143-3p
MYOCD	hsa-miR-143-5p
MYOCD	hsa-miR-145-3p
MYOCD	hsa-miR-145-5p
MYOCD	hsa-miR-1-5p
MYOCD	hsa-miR-206
MYOD1	hsa-miR-1-3p
MYOD1	hsa-miR-150-3p
MYOD1	hsa-miR-150-5p
MYOD1	hsa-miR-1-5p
MYOD1	hsa-miR-182-3p
MYOD1	hsa-miR-182-5p
MYOD1	hsa-miR-206
MYOD1	hsa-miR-22-3p
MYOD1	hsa-miR-22-5p
MYOG	hsa-miR-133a-3p
MYOG	hsa-miR-133a-5p
MYOG	hsa-miR-133b
MYOG	hsa-miR-206
N1ICD	hsa-miR-143-3p
N1ICD	hsa-miR-143-5p
N1ICD	hsa-miR-145-3p
N1ICD	hsa-miR-145-5p
NAB2	hsa-miR-142-3p
NAB2	hsa-miR-142-5p
NANOG	hsa-miR-17-3p
NANOG	hsa-miR-17-5p
NANOG	hsa-miR-18a-3p
NANOG	hsa-miR-18a-5p
NANOG	hsa-miR-19a-3p
NANOG	hsa-miR-19a-5p
NANOG	hsa-miR-19b-1-5p
NANOG	hsa-miR-19b-3p
NANOG	hsa-miR-20a-3p
NANOG	hsa-miR-20a-5p
NANOG	hsa-miR-302a-3p
NANOG	hsa-miR-302a-5p
NANOG	hsa-miR-302b-3p
NANOG	hsa-miR-302b-5p
NANOG	hsa-miR-302c-3p
NANOG	hsa-miR-302c-5p
NANOG	hsa-miR-302d-3p
NANOG	hsa-miR-302d-5p
NANOG	hsa-miR-367-3p
NANOG	hsa-miR-367-5p
NANOG	hsa-miR-92a-1-5p
NANOG	hsa-miR-92a-3p
NCOR1	hsa-miR-122-3p
NCOR1	hsa-miR-122-5p
NCOR1	hsa-miR-200c-3p
NCOR1	hsa-miR-200c-5p
NCOR1	hsa-miR-30d-3p
NCOR1	hsa-miR-30d-5p
NCOR2	hsa-miR-122-3p
NCOR2	hsa-miR-122-5p
NF1	hsa-miR-217-3p
NF1	hsa-miR-217-5p
NFATC1	hsa-miR-125a-3p
NFATC1	hsa-miR-125a-5p
NFATC1	hsa-miR-374b-3p
NFATC1	hsa-miR-374b-5p
NFATC1	hsa-miR-9-3p
NFATC1	hsa-miR-9-5p
NFATC3	hsa-miR-199b-3p
NFATC3	hsa-miR-199b-5p
NFATC3	hsa-miR-23a-3p
NFATC3	hsa-miR-23a-5p
NFATC3	hsa-miR-24-2-5p
NFATC3	hsa-miR-24-3p
NFATC3	hsa-miR-26a-1-3p
NFATC3	hsa-miR-26a-2-3p
NFATC3	hsa-miR-26a-5p
NFATC3	hsa-miR-26b-3p
NFATC3	hsa-miR-26b-5p
NFATC3	hsa-miR-27a-3p
NFATC3	hsa-miR-27a-5p
NFE2	hsa-miR-196b-3p
NFE2	hsa-miR-196b-5p
NFE2	hsa-miR-423-3p
NFE2	hsa-miR-423-5p
NFE2L2	hsa-miR-106b-3p
NFE2L2	hsa-miR-106b-5p
NFE2L2	hsa-miR-1207-3p
NFE2L2	hsa-miR-1207-5p
NFE2L2	hsa-miR-125b-1-3p
NFE2L2	hsa-miR-125b-2-3p
NFE2L2	hsa-miR-125b-5p
NFE2L2	hsa-miR-126-3p
NFE2L2	hsa-miR-126-5p
NFE2L2	hsa-miR-140-3p
NFE2L2	hsa-miR-140-5p
NFE2L2	hsa-miR-146a-3p
NFE2L2	hsa-miR-146a-5p
NFE2L2	hsa-miR-181c-3p
NFE2L2	hsa-miR-181c-5p
NFE2L2	hsa-miR-193b-3p
NFE2L2	hsa-miR-193b-5p
NFE2L2	hsa-miR-200c-3p
NFE2L2	hsa-miR-200c-5p
NFE2L2	hsa-miR-206
NFE2L2	hsa-miR-214-3p
NFE2L2	hsa-miR-214-5p
NFE2L2	hsa-miR-25-3p
NFE2L2	hsa-miR-25-5p
NFE2L2	hsa-miR-29a-3p
NFE2L2	hsa-miR-29a-5p
NFE2L2	hsa-miR-29b-1-5p
NFE2L2	hsa-miR-29b-2-5p
NFE2L2	hsa-miR-29b-3p
NFE2L2	hsa-miR-29c-3p
NFE2L2	hsa-miR-29c-5p
NFE2L2	hsa-miR-32-3p
NFE2L2	hsa-miR-32-5p
NFE2L2	hsa-miR-365a-3p
NFE2L2	hsa-miR-365a-5p
NFE2L2	hsa-miR-550a-3p
NFE2L2	hsa-miR-550a-5p
NFE2L2	hsa-miR-592
NFE2L2	hsa-miR-617
NFE2L2	hsa-miR-93-3p
NFE2L2	hsa-miR-93-5p
NFIA	hsa-miR-223-3p
NFIA	hsa-miR-223-5p
NFIB	hsa-miR-21-3p
NFIB	hsa-miR-21-5p
NFKB1	hsa-let-7a-3p
NFKB1	hsa-let-7a-5p
NFKB1	hsa-let-7b-3p
NFKB1	hsa-let-7b-5p
NFKB1	hsa-miR-100-3p
NFKB1	hsa-miR-100-5p
NFKB1	hsa-miR-10b-3p
NFKB1	hsa-miR-10b-5p
NFKB1	hsa-miR-125b-1-3p
NFKB1	hsa-miR-125b-5p
NFKB1	hsa-miR-127-3p
NFKB1	hsa-miR-127-5p
NFKB1	hsa-miR-1276
NFKB1	hsa-miR-1286
NFKB1	hsa-miR-130a-3p
NFKB1	hsa-miR-130a-5p
NFKB1	hsa-miR-136-3p
NFKB1	hsa-miR-136-5p
NFKB1	hsa-miR-146a-3p
NFKB1	hsa-miR-146a-5p
NFKB1	hsa-miR-146b-3p
NFKB1	hsa-miR-146b-5p
NFKB1	hsa-miR-148a-3p
NFKB1	hsa-miR-148a-5p
NFKB1	hsa-miR-150-3p
NFKB1	hsa-miR-150-5p
NFKB1	hsa-miR-155-3p
NFKB1	hsa-miR-155-5p
NFKB1	hsa-miR-17-3p
NFKB1	hsa-miR-17-5p
NFKB1	hsa-miR-1908-3p
NFKB1	hsa-miR-1908-5p
NFKB1	hsa-miR-199a-3p
NFKB1	hsa-miR-199a-5p
NFKB1	hsa-miR-200a-3p
NFKB1	hsa-miR-200a-5p
NFKB1	hsa-miR-200b-3p
NFKB1	hsa-miR-200b-5p
NFKB1	hsa-miR-210-3p
NFKB1	hsa-miR-210-5p
NFKB1	hsa-miR-21-3p
NFKB1	hsa-miR-214-3p
NFKB1	hsa-miR-214-5p
NFKB1	hsa-miR-21-5p
NFKB1	hsa-miR-219a-1-3p
NFKB1	hsa-miR-219a-5p
NFKB1	hsa-miR-224-3p
NFKB1	hsa-miR-224-5p
NFKB1	hsa-miR-23b-3p
NFKB1	hsa-miR-23b-5p
NFKB1	hsa-miR-24-1-5p
NFKB1	hsa-miR-24-3p
NFKB1	hsa-miR-2467-3p
NFKB1	hsa-miR-2467-5p
NFKB1	hsa-miR-27b-3p
NFKB1	hsa-miR-27b-5p
NFKB1	hsa-miR-2909
NFKB1	hsa-miR-29a-3p
NFKB1	hsa-miR-29a-5p
NFKB1	hsa-miR-29b-1-5p
NFKB1	hsa-miR-29b-3p
NFKB1	hsa-miR-29c-3p
NFKB1	hsa-miR-29c-5p
NFKB1	hsa-miR-301a-3p
NFKB1	hsa-miR-301a-5p
NFKB1	hsa-miR-30b-3p
NFKB1	hsa-miR-30b-5p
NFKB1	hsa-miR-30c-2-3p
NFKB1	hsa-miR-30c-5p
NFKB1	hsa-miR-3200-3p
NFKB1	hsa-miR-3200-5p
NFKB1	hsa-miR-340-3p
NFKB1	hsa-miR-340-5p
NFKB1	hsa-miR-34a-3p
NFKB1	hsa-miR-34a-5p
NFKB1	hsa-miR-3620-3p
NFKB1	hsa-miR-3620-5p
NFKB1	hsa-miR-424-3p
NFKB1	hsa-miR-424-5p
NFKB1	hsa-miR-425-3p
NFKB1	hsa-miR-425-5p
NFKB1	hsa-miR-429
NFKB1	hsa-miR-4454
NFKB1	hsa-miR-4485-3p
NFKB1	hsa-miR-4485-5p
NFKB1	hsa-miR-448
NFKB1	hsa-miR-449c-3p
NFKB1	hsa-miR-449c-5p
NFKB1	hsa-miR-494-3p
NFKB1	hsa-miR-494-5p
NFKB1	hsa-miR-502-3p
NFKB1	hsa-miR-502-5p
NFKB1	hsa-miR-503-3p
NFKB1	hsa-miR-503-5p
NFKB1	hsa-miR-506-3p
NFKB1	hsa-miR-506-5p
NFKB1	hsa-miR-9-3p
NFKB1	hsa-miR-9-5p
NFKB2	hsa-miR-221-3p
NFKB2	hsa-miR-221-5p
NFKB3	hsa-miR-155-3p
NFKB3	hsa-miR-155-5p
NFYA	hsa-miR-33a-3p
NFYA	hsa-miR-33a-5p
NF-Y	hsa-miR-130b-3p
NF-Y	hsa-miR-130b-5p
NF-Y	hsa-miR-17-3p
NF-Y	hsa-miR-17-5p
NF-Y	hsa-miR-21-3p
NF-Y	hsa-miR-21-5p
NF-Y	hsa-miR-301b-3p
NF-Y	hsa-miR-301b-5p
NKX2-1	hsa-miR-32-3p
NKX2-1	hsa-miR-32-5p
NKX2-1	hsa-miR-33a-3p
NKX2-1	hsa-miR-33a-5p
NKX2-5	hsa-miR-143-3p
NKX2-5	hsa-miR-143-5p
NKX2-5	hsa-miR-145-3p
NKX2-5	hsa-miR-145-5p
NKX2-5	hsa-miR-17-3p
NKX2-5	hsa-miR-17-5p
NKX2-5	hsa-miR-18a-3p
NKX2-5	hsa-miR-18a-5p
NKX2-5	hsa-miR-19a-3p
NKX2-5	hsa-miR-19a-5p
NKX2-5	hsa-miR-20a-3p
NKX2-5	hsa-miR-20a-5p
NOTCH1	hsa-miR-223-3p
NOTCH1	hsa-miR-223-5p
NOTCH3	hsa-miR-223-3p
NOTCH3	hsa-miR-223-5p
NR1H2	hsa-miR-143-3p
NR1H2	hsa-miR-143-5p
NR1H2	hsa-miR-145-3p
NR1H2	hsa-miR-145-5p
NR1H3	hsa-miR-130a-3p
NR1H3	hsa-miR-130a-5p
NR1H3	hsa-miR-206
NR1H4	hsa-miR-122-3p
NR1H4	hsa-miR-122-5p
NR1H4	hsa-miR-144-3p
NR1H4	hsa-miR-144-5p
NR1H4	hsa-miR-29a-3p
NR1H4	hsa-miR-29a-5p
NR1H4	hsa-miR-34a-3p
NR1H4	hsa-miR-34a-5p
NR2E1	hsa-miR-137-3p
NR2E1	hsa-miR-137-5p
NR3B3	hsa-miR-127-3p
NR3B3	hsa-miR-127-5p
NR3B3	hsa-miR-433-3p
NR3B3	hsa-miR-433-5p
NR3C2	hsa-miR-186-3p
NR3C2	hsa-miR-186-5p
NR3C2	hsa-miR-338-3p
NR3C2	hsa-miR-338-5p
NR3C2	hsa-miR-95-3p
NR3C2	hsa-miR-95-5p
NR5A2	hsa-miR-200c-3p
NR5A2	hsa-miR-200c-5p
NSUN2	hsa-miR-125b-2-3p
NSUN2	hsa-miR-125b-5p
OGG1	hsa-miR-125b-2-3p
OGG1	hsa-miR-125b-5p
OGG1	hsa-miR-133b
ONECUT1	hsa-miR-122-3p
ONECUT1	hsa-miR-122-5p
PAX4	hsa-miR-144-3p
PAX4	hsa-miR-144-5p
PAX5	hsa-miR-15a-3p
PAX5	hsa-miR-15a-5p
PAX5	hsa-miR-16-1-3p
PAX5	hsa-miR-16-5p
PAX5	hsa-miR-648
PAX6	hsa-miR-135b-3p
PAX6	hsa-miR-135b-5p
PAX8	hsa-miR-146b-3p
PAX8	hsa-miR-146b-5p
PBX1	hsa-miR-196b-3p
PBX1	hsa-miR-196b-5p
PBX1	hsa-miR-21-3p
PBX1	hsa-miR-21-5p
PBX2	hsa-miR-221-3p
PBX2	hsa-miR-221-5p
PBX2	hsa-miR-222-3p
PBX2	hsa-miR-222-5p
PCGF2	hsa-miR-205-3p
PCGF2	hsa-miR-205-5p
PDGF-B	hsa-miR-29a-3p
PDGF-B	hsa-miR-29a-5p
PDGF	hsa-miR-221-3p
PDGF	hsa-miR-221-5p
PDLIM7	hsa-miR-10b-3p
PDLIM7	hsa-miR-10b-5p
PELP1	hsa-miR-141-3p
PELP1	hsa-miR-141-5p
PELP1	hsa-miR-200a-3p
PELP1	hsa-miR-200a-5p
PELP1	hsa-miR-200b-3p
PELP1	hsa-miR-200b-5p
PELP1	hsa-miR-200c-3p
PELP1	hsa-miR-200c-5p
PELP1	hsa-miR-429
PIM1	hsa-miR-17-3p
PIM1	hsa-miR-17-5p
PIM1	hsa-miR-18a-3p
PIM1	hsa-miR-18a-5p
PIM1	hsa-miR-19a-3p
PIM1	hsa-miR-19a-5p
PIM1	hsa-miR-19b-1-5p
PIM1	hsa-miR-19b-3p
PIM1	hsa-miR-20a-3p
