TF	miRNA
CEBPA	hsa-miR-100-5p
CEBPA	hsa-miR-101-2-5p
CEBPA	hsa-miR-101-3p
CEBPA	hsa-miR-122-3p
CEBPA	hsa-miR-122-5p
CEBPA	hsa-miR-125b-1-3p
CEBPA	hsa-miR-125b-5p
CEBPA	hsa-miR-134-3p
CEBPA	hsa-miR-134-5p
CEBPA	hsa-miR-182-3p
CEBPA	hsa-miR-182-5p
CEBPA	hsa-miR-223-3p
CEBPA	hsa-miR-223-5p
CEBPA	hsa-miR-29a-3p
CEBPA	hsa-miR-29a-5p
CEBPA	hsa-miR-30c-1-3p
CEBPA	hsa-miR-30c-2-3p
CEBPA	hsa-miR-30c-5p
CEBPA	hsa-miR-34a-3p
CEBPA	hsa-miR-34a-5p
CEBPB	hsa-miR-143-3p
CEBPB	hsa-miR-143-5p
CEBPB	hsa-miR-145-3p
CEBPB	hsa-miR-145-5p
CEBPB	hsa-miR-146b-3p
CEBPB	hsa-miR-146b-5p
CEBPB	hsa-miR-17-3p
CEBPB	hsa-miR-17-5p
CEBPB	hsa-miR-181c-3p
CEBPB	hsa-miR-181c-5p
CEBPB	hsa-miR-18a-3p
CEBPB	hsa-miR-18a-5p
CEBPB	hsa-miR-198
CEBPB	hsa-miR-19a-3p
CEBPB	hsa-miR-19a-5p
CEBPB	hsa-miR-19b-1-5p
CEBPB	hsa-miR-19b-3p
CEBPB	hsa-miR-20a-3p
CEBPB	hsa-miR-20a-5p
CEBPB	hsa-miR-223-3p
CEBPB	hsa-miR-223-5p
CEBPB	hsa-miR-31-3p
CEBPB	hsa-miR-31-5p
CEBPB	hsa-miR-424-3p
CEBPB	hsa-miR-424-5p
CEBPB	hsa-miR-503-3p
CEBPB	hsa-miR-503-5p
CEBPB	hsa-miR-542-3p
CEBPB	hsa-miR-542-5p
CEBPB	hsa-miR-92a-1-5p
CEBPB	hsa-miR-92a-3p
CEBPD	hsa-miR-193b-3p
CEBPD	hsa-miR-193b-5p
CFTR	hsa-miR-193b-3p
CFTR	hsa-miR-193b-5p
CREB1	hsa-miR-132-3p
CREB1	hsa-miR-132-5p
CREB1	hsa-miR-148a-3p
CREB1	hsa-miR-148a-5p
CREB1	hsa-miR-15b-3p
CREB1	hsa-miR-15b-5p
CREB1	hsa-miR-212-3p
CREB1	hsa-miR-212-5p
CREB1	hsa-miR-21-3p
CREB1	hsa-miR-21-5p
CREB1	hsa-miR-23a-3p
CREB1	hsa-miR-23a-5p
CREB1	hsa-miR-302a-3p
CREB1	hsa-miR-302a-5p
CREB1	hsa-miR-320a-3p
CREB1	hsa-miR-320a-5p
CREB1	hsa-miR-335-3p
CREB1	hsa-miR-335-5p
CREB1	hsa-miR-373-3p
CREB1	hsa-miR-373-5p
CREB1	hsa-miR-630
CREB1	hsa-miR-9-3p
CREB1	hsa-miR-9-5p
CREBBP	hsa-miR-21-3p
CREBBP	hsa-miR-21-5p
CTCF	hsa-miR-125b-1-3p
CTCF	hsa-miR-125b-5p
CTCF	hsa-miR-375-3p
CTCF	hsa-miR-375-5p
CTNNB1	hsa-miR-124-3p
CTNNB1	hsa-miR-124-5p
CTNNB1	hsa-miR-146a-3p
CTNNB1	hsa-miR-146a-5p
CTNNB1	hsa-miR-150-3p
CTNNB1	hsa-miR-150-5p
CTNNB1	hsa-miR-182-3p
CTNNB1	hsa-miR-182-5p
CTNNB1	hsa-miR-183-3p
CTNNB1	hsa-miR-183-5p
CTNNB1	hsa-miR-30e-3p
CTNNB1	hsa-miR-30e-5p
CTNNB1	hsa-miR-34a-3p
CTNNB1	hsa-miR-34a-5p
CTNNB1	hsa-miR-372-3p
CTNNB1	hsa-miR-372-5p
CTNNB1	hsa-miR-373-3p
CTNNB1	hsa-miR-373-5p
CTNNB1	hsa-miR-770-5p
CTNNB1	hsa-miR-96-3p
CTNNB1	hsa-miR-96-5p
CUX1	hsa-miR-214-3p
CUX1	hsa-miR-214-5p
CXADR	hsa-miR-122-3p
CXADR	hsa-miR-122-5p
DDIT3	hsa-miR-708-3p
DDIT3	hsa-miR-708-5p
DDX53	hsa-miR-200b-3p
DDX53	hsa-miR-200b-5p
DDX5	hsa-miR-182-3p
DDX5	hsa-miR-182-5p
DDX5	hsa-miR-21-3p
DDX5	hsa-miR-21-5p
DDX6	hsa-miR-143-3p
DDX6	hsa-miR-143-5p
DDX6	hsa-miR-145-3p
DDX6	hsa-miR-145-5p
DEC1	hsa-miR-205-3p
DEC1	hsa-miR-205-5p
DLX5	hsa-miR-9-3p
DLX5	hsa-miR-9-5p
DNMT1	hsa-miR-142-3p
DNMT1	hsa-miR-142-5p
DNMT1	hsa-miR-148a-3p
DNMT1	hsa-miR-148a-5p
DNMT1	hsa-miR-150-3p
DNMT1	hsa-miR-150-5p
DNMT1	hsa-miR-152-3p
DNMT1	hsa-miR-152-5p
DNMT1	hsa-miR-184
DNMT1	hsa-miR-200a-3p
DNMT1	hsa-miR-200a-5p
DNMT1	hsa-miR-200b-3p
DNMT1	hsa-miR-200b-5p
DNMT1	hsa-miR-23b-3p
DNMT1	hsa-miR-23b-5p
DNMT1	hsa-miR-27b-3p
DNMT1	hsa-miR-27b-5p
DNMT1	hsa-miR-296-3p
DNMT1	hsa-miR-296-5p
DNMT1	hsa-miR-30a-3p
DNMT1	hsa-miR-30a-5p
DNMT1	hsa-miR-429
DNMT3A	hsa-let-7b-3p
DNMT3A	hsa-let-7b-5p
DNMT3A	hsa-miR-29a-3p
DNMT3A	hsa-miR-29a-5p
DNMT3A	hsa-miR-29b-1-5p
DNMT3A	hsa-miR-29b-3p
DNMT3B	hsa-miR-217-3p
DNMT3B	hsa-miR-217-5p
DNMT3B	hsa-miR-29a-3p
DNMT3B	hsa-miR-29a-5p
DNMT3B	hsa-miR-29b-1-5p
DNMT3B	hsa-miR-29b-3p
DOK7	hsa-miR-495-3p
DOK7	hsa-miR-495-5p
DPF2	hsa-miR-223-3p
DPF2	hsa-miR-223-5p
DTX1	hsa-miR-21-3p
DTX1	hsa-miR-21-5p
E2F1	hsa-let-7i-3p
E2F1	hsa-let-7i-5p
E2F1	hsa-miR-106a-3p
E2F1	hsa-miR-106a-5p
E2F1	hsa-miR-106b-3p
E2F1	hsa-miR-106b-5p
E2F1	hsa-miR-15a-3p
E2F1	hsa-miR-15a-5p
E2F1	hsa-miR-15b-3p
E2F1	hsa-miR-15b-5p
E2F1	hsa-miR-16-1-3p
E2F1	hsa-miR-16-2-3p
E2F1	hsa-miR-16-5p
E2F1	hsa-miR-17-3p
E2F1	hsa-miR-17-5p
E2F1	hsa-miR-184
E2F1	hsa-miR-18a-3p
E2F1	hsa-miR-18a-5p
E2F1	hsa-miR-18b-3p
E2F1	hsa-miR-18b-5p
E2F1	hsa-miR-195-3p
E2F1	hsa-miR-195-5p
E2F1	hsa-miR-19a-3p
E2F1	hsa-miR-19a-5p
E2F1	hsa-miR-19b-1-5p
E2F1	hsa-miR-19b-2-5p
E2F1	hsa-miR-19b-3p
E2F1	hsa-miR-202-3p
E2F1	hsa-miR-202-5p
E2F1	hsa-miR-20a-3p
E2F1	hsa-miR-20a-5p
E2F1	hsa-miR-20b-3p
E2F1	hsa-miR-20b-5p
E2F1	hsa-miR-223-3p
E2F1	hsa-miR-223-5p
E2F1	hsa-miR-224-3p
E2F1	hsa-miR-224-5p
E2F1	hsa-miR-23b-3p
E2F1	hsa-miR-23b-5p
E2F1	hsa-miR-24-1-5p
E2F1	hsa-miR-24-3p
E2F1	hsa-miR-25-3p
E2F1	hsa-miR-25-5p
E2F1	hsa-miR-27b-3p
E2F1	hsa-miR-27b-5p
E2F1	hsa-miR-29a-3p
E2F1	hsa-miR-29a-5p
E2F1	hsa-miR-34c-3p
E2F1	hsa-miR-34c-5p
E2F1	hsa-miR-363-3p
E2F1	hsa-miR-363-5p
E2F1	hsa-miR-4496
E2F1	hsa-miR-449a
E2F1	hsa-miR-449b-3p
E2F1	hsa-miR-449b-5p
E2F1	hsa-miR-449c-3p
E2F1	hsa-miR-449c-5p
E2F1	hsa-miR-452-3p
E2F1	hsa-miR-452-5p
E2F1	hsa-miR-519d-3p
E2F1	hsa-miR-519d-5p
E2F1	hsa-miR-92a-1-5p
E2F1	hsa-miR-92a-2-5p
E2F1	hsa-miR-92a-3p
E2F1	hsa-miR-93-3p
E2F1	hsa-miR-93-5p
E2F2	hsa-miR-17-3p
E2F2	hsa-miR-17-5p
E2F2	hsa-miR-18a-3p
E2F2	hsa-miR-18a-5p
E2F2	hsa-miR-19a-3p
E2F2	hsa-miR-19a-5p
E2F2	hsa-miR-19b-1-5p
E2F2	hsa-miR-19b-3p
E2F2	hsa-miR-20a-3p
E2F2	hsa-miR-20a-5p
E2F2	hsa-miR-25-3p
E2F2	hsa-miR-25-5p
E2F2	hsa-miR-92a-1-5p
E2F2	hsa-miR-92a-3p
E2F3	hsa-let-7i-3p
E2F3	hsa-let-7i-5p
E2F3	hsa-miR-106b-3p
E2F3	hsa-miR-106b-5p
E2F3	hsa-miR-15a-3p
