TF	miRNA
Pou5f1	mmu-mir-291a
Pou5f1	mmu-mir-291b
Pou5f1	mmu-mir-292a
Pou5f1	mmu-mir-292b
Pou5f1	mmu-mir-293
Pou5f1	mmu-mir-294
Pou5f1	mmu-mir-295
Pou5f1	mmu-mir-302a
Pou5f1	mmu-mir-302b
Pou5f1	mmu-mir-302c
Pou5f1	mmu-mir-302d
Pou5f1	mmu-mir-363
Pou5f1	mmu-mir-367
Pou5f1	mmu-mir-429
Pou5f1	mmu-mir-9-2
Pou5f1	mmu-mir-92a-2
Ppara	mmu-mir-193b
Ppara	mmu-mir-208b
Ppara	mmu-mir-365
Ppara	mmu-mir-499
Pparg	mmu-mir-103-1
Pparg	mmu-mir-148b
Pparg	mmu-mir-182
Pparg	mmu-mir-183
Pparg	mmu-mir-205
Pparg	mmu-mir-223
Pparg	mmu-mir-378
Pparg	mmu-mir-96
Prdm1	mmu-let-7c
Rapgef3	mmu-mir-124
Rbpj	mmu-mir-125a
Rbpj	mmu-mir-155
Rbpj	mmu-mir-182
Rbpj	mmu-mir-99b
Rela	mmu-mir-100
Rela	mmu-mir-124-1
Rela	mmu-mir-124-3
Rela	mmu-mir-130
Rela	mmu-mir-146a
Rela	mmu-mir-150
Rela	mmu-mir-155
Rela	mmu-mir-195
Rela	mmu-mir-21
Rela	mmu-mir-26a
Rela	mmu-mir-31
Rela	mmu-mir-33a
Rela	mmu-mir-375
Rela	mmu-mir-497
Rela	mmu-mir-705
Rest	mmu-mir-124
Rest	mmu-mir-124-1
Rest	mmu-mir-124-2
Rest	mmu-mir-124-3
Rest	mmu-mir-132
Rest	mmu-mir-135b
Rest	mmu-mir-137
Rest	mmu-mir-153
Rest	mmu-mir-21
Rest	mmu-mir-212
Rest	mmu-mir-29b
Rest	mmu-mir-9
Rest	mmu-mir-9-1
Rest	mmu-mir-9-2
Rest	mmu-mir-9-3
Runx1	mmu-mir-142
Runx1	mmu-mir-144
Runx1	mmu-mir-451a
Runx1	mmu-mir-451b
Runx2	mmu-mir-302a
Runx2	mmu-mir-690
Sf1	mmu-mir-202
Sf1	mmu-mir-383
Sirt1	mmu-mir-134
Smad1	mmu-mir-106b
Smad1	mmu-mir-23a
Smad1	mmu-mir-24-2
Smad1	mmu-mir-25
Smad1	mmu-mir-27a
Smad1	mmu-mir-93
Smad2	mmu-mir-1188
Smad2	mmu-mir-1193
Smad2	mmu-mir-1197
Smad2	mmu-mir-134
Smad2	mmu-mir-154
Smad2	mmu-mir-181c
Smad2	mmu-mir-181d
Smad2	mmu-mir-192
Smad2	mmu-mir-21
Smad2	mmu-mir-299a
Smad2	mmu-mir-299b
Smad2	mmu-mir-300
Smad2	mmu-mir-3072
Smad2	mmu-mir-323
Smad2	mmu-mir-329
Smad2	mmu-mir-341
Smad2	mmu-mir-369
Smad2	mmu-mir-370
Smad2	mmu-mir-376a
Smad2	mmu-mir-376b
Smad2	mmu-mir-376c
Smad2	mmu-mir-377
Smad2	mmu-mir-379
Smad2	mmu-mir-380
Smad2	mmu-mir-381
Smad2	mmu-mir-382
Smad2	mmu-mir-409
Smad2	mmu-mir-410
Smad2	mmu-mir-411
Smad2	mmu-mir-412
Smad2	mmu-mir-453
Smad2	mmu-mir-485
Smad2	mmu-mir-487b
Smad2	mmu-mir-494
Smad2	mmu-mir-495
Smad2	mmu-mir-496a
Smad2	mmu-mir-539
Smad2	mmu-mir-541
Smad2	mmu-mir-543
Smad2	mmu-mir-544
Smad2	mmu-mir-654
Smad2	mmu-mir-666
Smad2	mmu-mir-667
Smad2	mmu-mir-668
Smad2	mmu-mir-679
Smad2	mmu-mir-758
Smad2	mmu-mir-882
Smad2	mmu-mir-96
Smad3	mmu-mir-1188
Smad3	mmu-mir-1193
Smad3	mmu-mir-1197
Smad3	mmu-mir-134
Smad3	mmu-mir-154
Smad3	mmu-mir-181c
Smad3	mmu-mir-181d
Smad3	mmu-mir-192
Smad3	mmu-mir-208a
Smad3	mmu-mir-21
Smad3	mmu-mir-23a
Smad3	mmu-mir-24-2
Smad3	mmu-mir-27a
Smad3	mmu-mir-27b
Smad3	mmu-mir-299a
Smad3	mmu-mir-299b
Smad3	mmu-mir-29b-2
Smad3	mmu-mir-300
Smad3	mmu-mir-3072
Smad3	mmu-mir-323
Smad3	mmu-mir-329
Smad3	mmu-mir-341
Smad3	mmu-mir-369
Smad3	mmu-mir-370
Smad3	mmu-mir-376a
Smad3	mmu-mir-376b
Smad3	mmu-mir-376c
Smad3	mmu-mir-377
Smad3	mmu-mir-379
Smad3	mmu-mir-380
Smad3	mmu-mir-381
Smad3	mmu-mir-382
Smad3	mmu-mir-409
Smad3	mmu-mir-410
Smad3	mmu-mir-411
Smad3	mmu-mir-412
Smad3	mmu-mir-433
Smad3	mmu-mir-453
Smad3	mmu-mir-485
Smad3	mmu-mir-487b
Smad3	mmu-mir-494
Smad3	mmu-mir-495
Smad3	mmu-mir-496a
Smad3	mmu-mir-539
Smad3	mmu-mir-541
Smad3	mmu-mir-543
Smad3	mmu-mir-544
Smad3	mmu-mir-654
Smad3	mmu-mir-666
Smad3	mmu-mir-667
Smad3	mmu-mir-668
Smad3	mmu-mir-679
Smad3	mmu-mir-758
Smad3	mmu-mir-882
Smad3	mmu-mir-96
Smad4	mmu-mir-106b
Smad4	mmu-mir-208a
Smad4	mmu-mir-21
Smad4	mmu-mir-25
Smad4	mmu-mir-93
Smad4	mmu-mir-96
Smad4	mmu-mir-96 
Smad5	mmu-mir-106b
Smad5	mmu-mir-25
Smad5	mmu-mir-93
Smad5 	mmu-mir-23a
Smad5 	mmu-mir-24-2
Smad5 	mmu-mir-27a
Snai1	mmu-let-7a
Snai1	mmu-let-7e
Snai1	mmu-let-7g
Snai1	mmu-let-7i
Sox2	mmu-mir-106a
Sox2	mmu-mir-141
Sox2	mmu-mir-19b-2
Sox2	mmu-mir-200a
Sox2	mmu-mir-200b
Sox2	mmu-mir-200c
Sox2	mmu-mir-20b
Sox2	mmu-mir-290a
Sox2	mmu-mir-290b
Sox2	mmu-mir-291a
Sox2	mmu-mir-291b
Sox2	mmu-mir-292a
Sox2	mmu-mir-292b
Sox2	mmu-mir-293
Sox2	mmu-mir-294
Sox2	mmu-mir-295
Sox2	mmu-mir-302a
Sox2	mmu-mir-302b
Sox2	mmu-mir-302c
Sox2	mmu-mir-302d
Sox2	mmu-mir-363
Sox2	mmu-mir-367
Sox2	mmu-mir-429
Sox2	mmu-mir-9-2
Sox2	mmu-mir-92a-2
Sox6	mmu-mir-208b
Sox9	mmu-mir-202
Sp1	mmu-mir-130a
Spi1	mmu-mir-142
Spi1	mmu-mir-146a
Spi1	mmu-mir-191
Spi1	mmu-mir-21
Spi1	mmu-mir-22
Spi1	mmu-mir-223
Spi1	mmu-mir-34a
Srebf2	mmu-mir-182
Srebf2	mmu-mir-183
Srebf2	mmu-mir-96
Srf	mmu-mir-1
Srf	mmu-mir-103
Srf	mmu-mir-106b
Srf	mmu-mir-126
Srf	mmu-mir-127
Srf	mmu-mir-133a
Srf	mmu-mir-133a-1
Srf	mmu-mir-133a-2
Srf	mmu-mir-133b
Srf	mmu-mir-143
Srf	mmu-mir-145
Srf	mmu-mir-151
Srf	mmu-mir-1a-1
Srf	mmu-mir-1a-2
Srf	mmu-mir-208b
Srf	mmu-mir-210
Srf	mmu-mir-30c
Srf	mmu-mir-342
Srf	mmu-mir-376a
Srf	mmu-mir-377
Srf	mmu-mir-433
Srf	mmu-mir-451
Srf	mmu-mir-495
Srf	mmu-mir-503
Srf	mmu-mir-92b
Stat1	mmu-mir-143
Stat1	mmu-mir-145
Stat3	mmu-mir-146b
Stat3	mmu-mir-181b
Stat3	mmu-mir-182
Stat3	mmu-mir-183
Stat3	mmu-mir-205
Stat3	mmu-mir-21
Stat3	mmu-mir-23a
Stat3	mmu-mir-24-2
Stat3	mmu-mir-27a
Stat3	mmu-mir-96
Stat5a	mmu-mir-146b
Stat5a	mmu-mir-148a
Stat5a	mmu-mir-193b
Stat5a	mmu-mir-21
Stat5a	mmu-mir-365-1
Stat5a	mmu-mir-6365
Stat6	mmu-mir-142
Stat6	mmu-mir-146b
Stat6	mmu-mir-342
Tbx1	mmu-mir-96
Tbx5	mmu-mir-218-1
Tbx5	mmu-mir-335
Tbx5	mmu-mir-678
Tbx5	mmu-mir-719
Tcf3	mmu-mir-106a
Tcf3	mmu-mir-19b-2
Tcf3	mmu-mir-20b
Tcf3	mmu-mir-290a
Tcf3	mmu-mir-290b
Tcf3	mmu-mir-291a
Tcf3	mmu-mir-291b
Tcf3	mmu-mir-292a
Tcf3	mmu-mir-292b
Tcf3	mmu-mir-293
Tcf3	mmu-mir-294
Tcf3	mmu-mir-295
Tcf3	mmu-mir-302a
Tcf3	mmu-mir-302b
Tcf3	mmu-mir-302c
Tcf3	mmu-mir-302d
Tcf3	mmu-mir-363
Tcf3	mmu-mir-367
Tcf3	mmu-mir-451
Tcf3	mmu-mir-709
Tcf3	mmu-mir-9-2
Tcf3	mmu-mir-92a-2
Tgfb1	mmu-mir-153
Thra	mmu-mir-133a-1
Thra	mmu-mir-1a-2
Tlr4	mmu-mir-147
Tlr4	mmu-mir-26a
Tnf	mmu-mir-125b
Trim32	mmu-let-7
Trp53	mmu-mir-100
Trp53	mmu-mir-146a
Trp53	mmu-mir-150
Trp63	mmu-mir-34a
Trp63	mmu-mir-34b
Trp63	mmu-mir-34c
Trp73	mmu-mir-34a
Twist1	mmu-mir-148a
Twist1	mmu-mir-214
Xbp1	mmu-mir-148a
Yap1	mmu-mir-206
Yy1	mmu-mir-125a
Yy1	mmu-mir-134
Yy1	mmu-mir-206
Yy1	mmu-mir-29b-2
Yy1	mmu-mir-29c
Yy1	mmu-mir-99b
