miRNA	Gene
mmu-let-7a-5p	Trim71
mmu-let-7e-5p	Trim71
mmu-miR-10a-5p	Hdac4
mmu-miR-221-3p	Ddit4
mmu-miR-221-3p	Bnip3
mmu-miR-181b-5p	Timp3
mmu-miR-27b-3p	Mef2c
mmu-miR-381-3p	Bdnf
mmu-miR-495-3p	Bdnf
mmu-miR-30a-5p	Bdnf
mmu-miR-30d-5p	Bdnf
mmu-miR-143-3p	Elk1
mmu-miR-145a-5p	Klf4
mmu-miR-145a-5p	Camk2d
mmu-miR-125b-5p	Lin28a
mmu-miR-125b-5p	Map2k7
mmu-miR-125b-5p	Ajuba
mmu-let-7a-5p	Lin28a
mmu-miR-29a-3p	Zfp36
mmu-miR-23a-3p	Pou4f2
mmu-miR-214-3p	Pou4f2
mmu-miR-128-3p	Pou4f2
mmu-miR-23b-3p	Rtl1
mmu-miR-221-3p	Kit
mmu-miR-222-3p	Kit
mmu-miR-181a-5p	Hoxa
mmu-miR-133b-3p	Ptbp2
mmu-miR-124-3p	Bdnf
mmu-let-7d-5p	Bdnf
mmu-let-7d-5p	Drd3
mmu-miR-124-3p	Drd3
mmu-miR-27b-3p	Smad3
mmu-miR-24-3p	Smad3
mmu-miR-27b-3p	Smad4
mmu-miR-24-3p	Smad4
mmu-miR-27b-3p	Smad5
mmu-miR-24-3p	Smad5
mmu-miR-23a-3p	Lmnb1
mmu-miR-23b-3p	Lmnb1
mmu-miR-101a-3p	COX2
mmu-miR-29b-3p	Dusp2
mmu-miR-29b-3p	Ctnnbip1
mmu-miR-29b-3p	Acvr2a
mmu-miR-29b-3p	Tgfb3
mmu-miR-29b-3p	Hdac4
mmu-miR-29b-3p	Col5a3
mmu-miR-29b-3p	Col4a2
mmu-miR-125b-5p	Tnf
mmu-miR-1a-3p	Rheb
mmu-miR-1a-3p	Rps6
mmu-miR-1a-3p	Rasa1
mmu-miR-1a-3p	Cdk9
mmu-miR-1a-3p	Fn1
mmu-miR-27a-3p	Odc1
mmu-miR-27a-3p	Srm
mmu-miR-1a-3p	Acta1
mmu-miR-1a-3p	Myh6
mmu-miR-124-3p	Jag1
mmu-miR-124-3p	Dlx2
mmu-miR-124-3p	Sox9
mmu-miR-503-5p	Bcl2
mmu-miR-196a-5p	Hoxb8
mmu-miR-181b-5p	Aicda
mmu-miR-16-5p	App
mmu-miR-1a-3p	Pax7
mmu-miR-1a-3p	Pola1
mmu-miR-133a-3p	Pola1
mmu-miR-206-3p	Id1
mmu-miR-206-3p	Id2
mmu-miR-206-3p	Id3
mmu-miR-206-3p	Hhip
mmu-miR-206-3p	Ptplad1
mmu-miR-206-3p	Bdnf
mmu-miR-206-3p	Igsf5
mmu-miR-1a-3p	Gja1
mmu-miR-124-3p	Ptbp2
mmu-miR-132-3p	Ep300
mmu-miR-132-3p	Kdm5a
mmu-miR-132-3p	Btg2
mmu-miR-132-3p	Paip2
mmu-miR-191-5p	Riok3
mmu-miR-191-5p	Mxi1
mmu-miR-134-5p	Dcx
mmu-miR-134-5p	Chrdl1
mmu-miR-351-5p	Tnf
mmu-miR-351-5p	Siah2
mmu-miR-298-5p	Siah2
mmu-miR-298-5p	Tnf
mmu-miR-155-5p	Pea15a
mmu-miR-363-3p	Hand2
mmu-miR-363-3p	Tbx3
mmu-miR-137-3p	Tbx3
mmu-miR-153-3p	Tbx3
mmu-miR-1a-3p	Klf4
mmu-miR-26b-5p	Lef1
mmu-miR-134-5p	Creb1
mmu-miR-326-3p	Ets1
mmu-miR-33-5p	Nrip1
mmu-miR-9-5p	Sirt1
mmu-miR-29b-3p	Bcl2l11
mmu-miR-29b-3p	Bmf
mmu-miR-29b-3p	Hrk
mmu-miR-29b-3p	Bbc3
mmu-miR-29b-3p	Bak1
mmu-miR-15a-5p	Eln
mmu-miR-497a-5p	Eln
mmu-miR-135a-5p	App
mmu-miR-20a-5p	App
mmu-miR-18a-5p	Hsf2
mmu-miR-494-3p	Hsf2
mmu-miR-29b-1-5p	Arg1
mmu-miR-676-3p	Arg1
mmu-miR-382-3p	Arg1
mmu-miR-669b-5p	Arg1
mmu-miR-96-5p	Gstm1
mmu-miR-126a-3p	Runx1
mmu-miR-126a-3p	Tal1
mmu-miR-126a-3p	Sfpi1
mmu-miR-126a-5p	Sfpi1
mmu-miR-126a-5p	Tal1
mmu-miR-126a-5p	Runx1
mmu-miR-125b-5p	Igf2
mmu-miR-200a-3p	Ctnnb1
mmu-miR-200b-3p	Suz12
mmu-miR-200b-3p	Bmi1
mmu-miR-9-5p	Hes1
mmu-miR-146a-5p	Stat1
mmu-miR-101a-3p	Dusp1
mmu-miR-223-3p	Gzmb
mmu-miR-101a-3p	Akt1
mmu-miR-16-5p	Mdm4
mmu-miR-16-5p	Vegfa
mmu-miR-16-5p	Jun
mmu-miR-16-5p	Jag1
mmu-miR-291a-3p	Cdkn1a
mmu-miR-291b-3p	Cdkn1a
mmu-miR-294-3p	Cdkn1a
mmu-miR-295-3p	Cdkn1a
mmu-miR-302d-3p	Cdkn1a
mmu-miR-212-3p	Mmp9
mmu-miR-132-3p	Mmp9
mmu-miR-199b-3p	Dyrk1a
mmu-miR-200b-3p	Flt1
mmu-miR-200c-3p	Flt1
mmu-miR-200a-3p	Flt1
mmu-miR-429-3p	Flt1
mmu-miR-122-5p	Klf6
mmu-miR-122-5p	B2m
mmu-miR-122-5p	Afp
mmu-miR-122-5p	Ccl2
mmu-miR-122-5p	Csf3r
mmu-miR-122-5p	Ctgf
mmu-miR-122-5p	Cxcl13
mmu-miR-122-5p	Cyp2b13
mmu-miR-122-5p	Dbp
mmu-miR-122-5p	Igf2
mmu-miR-122-5p	Il1b
mmu-miR-122-5p	Jun
mmu-miR-122-5p	Per1
mmu-miR-122-5p	Alpl
mmu-miR-122-5p	Cs
mmu-miR-122-5p	Prom1
mmu-miR-122-5p	Sox4
mmu-miR-124-3p	Ginm1
mmu-miR-483-5p	Socs3
mmu-miR-22-3p	Mecom
